trip_id,ft_cnt_vehicle_deaccel_val,ft_sum_hard_brakes_10_flg_val,ft_sum_hard_brakes_3_flg_val,ft_sum_time_deaccel_val,ft_cnt_vehicle_accel_val,ft_sum_hard_accel_10_flg_val,ft_sum_hard_accel_3_flg_val,ft_sum_time_accel_val
00922df3be5a4589ab385d0c2da2dd81,974.0,15.0,536.0,1414.0,974.0,8.0,515.0,1482.0
00dc31fe55e24d14989c89de4b3b683b,1217.0,52.0,844.0,1853.0,1217.0,82.0,801.0,1835.0
0156d21e316d4d8b9d5bf6ccff797bf7,1135.0,1.0,218.0,1746.0,1135.0,1.0,230.0,1686.0
01b8a24510cd4e4684d67b96369286e0,210.0,12.0,139.0,312.0,210.0,10.0,141.0,317.0
01c2a70c25e5428bb33811ca5eb19270,2374.0,1.0,689.0,3518.0,2374.0,1.0,682.0,3613.0
01d4a4efe7d14d11a5f9fa5f40bd8bc3,1028.0,2.0,507.0,1580.0,1028.0,5.0,546.0,1529.0
0244f7bc747b41fba6fcd75444736621,185.0,1.0,111.0,278.0,185.0,3.0,114.0,269.0
025e2f194863461d9c27b2242007ac09,1961.0,200.0,1324.0,2953.0,1961.0,214.0,1314.0,2925.0
02abe724b7a943cdae50c69e4f03cc26,3186.0,52.0,1911.0,4782.0,3186.0,52.0,1910.0,4764.0
02c51e56cc484711b218d3d01196687a,1974.0,5.0,989.0,2953.0,1974.0,8.0,968.0,2948.0
02cdeb03041b450d83b18623ba7d6ae8,2756.0,1.0,819.0,4023.0,2756.0,1.0,801.0,4070.0
0324ddb398fd4e97b73375abcda402b8,1194.0,127.0,785.0,1753.0,1194.0,130.0,764.0,1729.0
032d48f64d4e44af80f1a30ae48f40c6,3003.0,2.0,1247.0,4440.0,3003.0,3.0,1257.0,4508.0
033a252fccc3488da8f0c343fb93ab10,1708.0,151.0,1106.0,2560.0,1708.0,128.0,1147.0,2579.0
035f294bfbdd46c290fa023054add699,696.0,29.0,467.0,1033.0,696.0,27.0,451.0,1085.0
0379dabd796440b1aa11378795e859ed,2456.0,1.0,714.0,3730.0,2456.0,1.0,715.0,3697.0
039c14a9a7df4096bb6e9445136fdf77,2406.0,7.0,1156.0,3625.0,2406.0,5.0,1158.0,3635.0
03b8ac1525474754b4d89d2d647aa8e4,2757.0,79.0,1781.0,4140.0,2757.0,92.0,1745.0,4097.0
03c33d016a2e4eb3857b900db61feb0e,536.0,1.0,174.0,798.0,536.0,1.0,168.0,833.0
03e0a7f2f6204a3aa6d4e5ebd2fec5f7,3198.0,258.0,2141.0,4782.0,3198.0,258.0,2142.0,4792.0
03fd5dc0e51443e69803aa0813f6ccfe,2502.0,176.0,1654.0,3713.0,2502.0,160.0,1689.0,3743.0
047633791fb243ff814b1b760a7bd5a4,1693.0,1.0,493.0,2517.0,1693.0,1.0,480.0,2498.0
0479672ff07c4fefb7ce001b85435d9c,2911.0,6.0,1380.0,4343.0,2911.0,9.0,1366.0,4293.0
04a0c61b0db5478e8e8c6052b300a303,2120.0,68.0,1328.0,3175.0,2120.0,66.0,1355.0,3177.0
04c6db234dfa4e0fbc979d93edfead48,1164.0,66.0,756.0,1759.0,1164.0,59.0,771.0,1724.0
0511543f810249a3abc1919582f2888e,2198.0,109.0,1500.0,3306.0,2198.0,113.0,1521.0,3293.0
05693aea439d4ea3aac1bbd4fba585ad,2455.0,1.0,438.0,3676.0,2455.0,1.0,490.0,3678.0
057df3c6eacd439a8914d2424150da19,1966.0,1.0,345.0,2936.0,1966.0,1.0,330.0,2986.0
05e3f9ef5204475981edd44e5939c4a4,1290.0,12.0,732.0,1944.0,1290.0,10.0,730.0,1934.0
05fb7678346d466db8228ad002bb7840,3146.0,20.0,1739.0,4745.0,3146.0,25.0,1727.0,4679.0
0653060987cf4bfda6988cbab07b04b2,1022.0,85.0,688.0,1520.0,1022.0,89.0,676.0,1545.0
065a035be1054c6d8fc7f4a1b02629ca,1898.0,6.0,916.0,2848.0,1898.0,7.0,938.0,2819.0
065bed56c6b44969a134543bebf74ed7,2480.0,189.0,1681.0,3667.0,2480.0,189.0,1662.0,3779.0
06d25867aaba41978ca77da69f404793,2712.0,37.0,1597.0,4160.0,2712.0,45.0,1643.0,3962.0
06e692ceefb94c29b4b8534b5efd8109,2162.0,14.0,1225.0,3270.0,2162.0,22.0,1231.0,3191.0
07310dff86b94c3e9269660f6baa39df,2692.0,78.0,1695.0,4098.0,2692.0,88.0,1710.0,4000.0
07422af3a3d24358ab191cca830473e8,1498.0,5.0,761.0,2236.0,1498.0,3.0,758.0,2282.0
074f397ecdcb4a878e7006c145037c1b,1639.0,43.0,1038.0,2506.0,1639.0,40.0,1045.0,2451.0
07a0caa98a984ecfb2bc5150cb1a604a,203.0,28.0,121.0,289.0,203.0,17.0,136.0,316.0
085450003ac040d1bc851e91d7fc7a38,1483.0,6.0,849.0,2247.0,1483.0,10.0,839.0,2227.0
085db82a73544e6e85db1ace27f3b073,1758.0,205.0,1168.0,2621.0,1758.0,172.0,1189.0,2721.0
08639687194545c695dea551db53e8b3,1633.0,1.0,326.0,2453.0,1633.0,1.0,308.0,2452.0
0880c456faa241e4bec83dca9ae2cd7d,944.0,38.0,628.0,1443.0,944.0,46.0,615.0,1409.0
08d8e89824b843faae1fec63788c4c77,496.0,17.0,325.0,742.0,496.0,20.0,306.0,743.0
090076d8f1e549eb81eca36c4009dd28,527.0,17.0,337.0,803.0,527.0,22.0,335.0,799.0
0906c79301d44fb6a98aefbf9c44f4dd,2604.0,151.0,1690.0,3898.0,2604.0,124.0,1734.0,3908.0
09257a47fbad4a0e87d0377374273d6f,2393.0,1.0,957.0,3560.0,2393.0,5.0,947.0,3616.0
093152df3ab346049fc779067879d2a9,2934.0,1.0,570.0,4370.0,2934.0,1.0,555.0,4435.0
09698b386d3d45a6b268b5255e6bf783,2089.0,70.0,1345.0,3086.0,2089.0,65.0,1316.0,3125.0
09707b6bf08047dda260c19f8f1ee7d9,179.0,0.0,54.0,271.0,179.0,1.0,49.0,277.0
0974bb20574941adaddbc66878725d89,504.0,28.0,336.0,735.0,504.0,34.0,331.0,739.0
097e967e76d74b1fae1eb65359fa9df7,2823.0,1.0,530.0,4238.0,2823.0,1.0,523.0,4285.0
099bb5419bbe472485c18ff4e9145b4f,1951.0,29.0,1184.0,2968.0,1951.0,22.0,1201.0,2940.0
09dbd5c4ee4a4709adc8a6558ae6547a,2879.0,1.0,834.0,4328.0,2879.0,1.0,873.0,4251.0
09ec4383e71648fda673274bd5e820be,142.0,5.0,83.0,209.0,142.0,3.0,90.0,199.0
0a258f42659240bd936e5da48e0afb7e,1548.0,66.0,1035.0,2340.0,1548.0,69.0,1043.0,2332.0
0a274b2babfe4e04842a6aa293dfebc1,1402.0,144.0,945.0,2088.0,1402.0,171.0,905.0,2050.0
0aa08cd236c641d49e3f274a3ea682b8,3166.0,23.0,1715.0,4757.0,3166.0,13.0,1750.0,4755.0
0ad6c11809c14fb680886439c34d83d1,3415.0,21.0,1878.0,5093.0,3415.0,23.0,1902.0,5104.0
0b1a0a1ed0e44a86b63b624e5d808ccd,3507.0,99.0,2274.0,5248.0,3507.0,103.0,2280.0,5213.0
0b684d7a24674500a933021f1ef052f4,1943.0,144.0,1295.0,2888.0,1943.0,144.0,1313.0,2882.0
0b6ea7b5ddb34b5687ae92b7bfdb0916,1180.0,38.0,776.0,1805.0,1180.0,44.0,751.0,1739.0
0b8737f11b714eec926fc1a16db61dc1,2111.0,71.0,1357.0,3145.0,2111.0,71.0,1336.0,3197.0
0b9bd5528d364d5692d74feb4a4d44f2,2673.0,0.0,502.0,4007.0,2673.0,1.0,524.0,3974.0
0c10f89166594dd6a9efe9d181b343ce,1509.0,118.0,1002.0,2250.0,1509.0,120.0,1024.0,2257.0
0c538955f73e42d08f29565cdd6d3bd8,763.0,69.0,495.0,1185.0,763.0,84.0,500.0,1131.0
0c53f09b37214c688b04f043c1797a83,965.0,13.0,596.0,1438.0,965.0,23.0,582.0,1420.0
0c5d6bd9082d4caa8ea18144e2d0ef4c,3564.0,1.0,675.0,5274.0,3564.0,1.0,646.0,5346.0
0c6d3eb8351041048f7d1222d8b28083,548.0,1.0,265.0,811.0,548.0,3.0,266.0,835.0
